Order Year,Order Month,Total_Revenue
2014,1,73744.13
2014,2,19603.21
2014,3,292309.55
2014,4,146423.0
2014,5,117540.56
2014,6,170963.46
2014,7,158392.56
2014,8,137450.2
2014,9,417139.72
2014,10,159024.73
2014,11,383642.56
2014,12,392050.05
2015,1,129297.85
2015,2,52934.74
2015,3,199589.64
2015,4,143593.75
2015,5,167456.82
2015,6,96522.29
2015,7,149333.73
2015,8,186724.54
2015,9,334991.38
2015,10,140458.93
2015,11,376714.51
2015,12,407283.2
2016,1,98322.4
2016,2,104344.62
2016,3,237420.09
2016,4,191368.7
2016,5,296416.98
2016,6,185399.31
2016,7,180687.7
2016,8,160060.51
2016,9,346144.09
2016,10,300826.26
2016,11,389646.53
2016,12,559420.17
2017,1,203832.62
2017,2,87762.98
2017,3,251524.69
2017,4,146195.93
2017,5,216459.76
2017,6,267986.18
2017,7,213810.04
2017,8,393875.73
2017,9,417519.86
2017,10,397186.51
2017,11,599996.23
2017,12,388669.08
