Product Name,Total_Revenue,Total_Orders
Canon imageCLASS 2200 Advanced Copier,253399.28,5
GBC Ibimaster 500 Manual ProClick Binding System,171524.89,9
Cisco TelePresence System EX90 Videoconferencing Unit,135830.88,1
HON 5400 Series Task Chairs for Big and Tall,124494.05,8
Samsung Galaxy Mega 6.3,118101.19,6
Hewlett Packard LaserJet 3310 Copier,111478.14,8
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,100662.41,10
Lexmark MX611dhe Monochrome Laser Printer,93329.45,4
"3D Systems Cube Printer, 2nd Generation, Magenta",84499.35,2
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",81561.13,5
